PrId,nncid,interaction
Q9UL18,n333428,1
Q9Y6M1,n333428,1
Q15717,n333481,1
Q9UKV8,n333481,1
O00425,n333490,1
P35637,n333490,1
Q15717,n333490,1
Q8NDV7,n333490,1
Q9NZI8,n333490,1
Q9Y6M1,n333490,1
Q13148,n333503,1
Q49AS9,n333507,1
Q15717,n333527,1
Q9NZI8,n333527,1
Q9UKV8,n333527,1
B7ZL34,n333534,1
Q15717,n333550,1
Q49AS9,n333550,1
P35637,n333750,1
O00425,n333837,1
P35637,n333837,1
B7ZL34,n334052,1
O00425,n334052,1
P35637,n334052,1
Q01844,n334052,1
Q13148,n334052,1
Q15717,n334052,1
Q49AS9,n334052,1
Q8NDV7,n334052,1
Q96PU8,n334052,1
Q9NZI8,n334052,1
Q9UKV8,n334052,1
Q9UL18,n334052,1
Q9Y6M1,n334052,1
P31483,n334403,1
Q49AS9,n334403,1
P31483,n334504,1
P26599,n334613,1
O43251,n334616,1
Q15717,n334773,1
Q49AS9,n334773,1
P26599,n334777,1
Q15717,n334786,1
Q13148,n335100,1
P35637,n335106,1
Q15717,n335106,1
Q13148,n335135,1
P26599,n335179,1
Q15717,n335486,1
P35637,n335521,1
Q15717,n335521,1
Q49AS9,n335521,1
Q07955,n335526,1
Q07955,n335530,1
Q07955,n335544,1
Q15717,n335544,1
Q9UKV8,n335544,1
O00425,n335584,1
P26599,n335584,1
Q07955,n335584,1
Q15717,n335584,1
Q9NZI8,n335584,1
Q9Y6M1,n335584,1
Q07955,n335591,1
Q9Y6M1,n335591,1
Q15717,n335629,1
P31483,n335656,1
Q49AS9,n335656,1
Q9HCE1,n335656,1
Q15717,n335682,1
O00425,n335713,1
P35637,n335713,1
Q01844,n335713,1
Q15717,n335713,1
Q9NZI8,n335713,1
Q9UKV8,n335713,1
Q9UL18,n335713,1
Q9Y6M1,n335713,1
P26599,n336291,1
Q13148,n336291,1
Q15717,n336291,1
O00425,n336293,1
P35637,n336293,1
Q01844,n336293,1
Q15717,n336293,1
Q8NDV7,n336293,1
Q96PU8,n336293,1
Q9NZI8,n336293,1
Q9UKV8,n336293,1
Q9UL18,n336293,1
Q9Y6M1,n336293,1
P35637,n336296,1
Q01844,n336296,1
Q13148,n336296,1
Q15717,n336296,1
Q8NDV7,n336296,1
Q96PU8,n336296,1
Q9UKV8,n336296,1
Q9UL18,n336296,1
Q13148,n336894,1
B7ZL34,n336934,1
O00425,n336934,1
P31483,n336934,1
P35637,n336934,1
Q01844,n336934,1
Q13148,n336934,1
Q15717,n336934,1
Q49AS9,n336934,1
Q8NDV7,n336934,1
Q96PU8,n336934,1
Q9UKV8,n336934,1
Q9UL18,n336934,1
Q9Y6M1,n336934,1
Q07955,n336975,1
Q15717,n336975,1
Q49AS9,n336975,1
Q15717,n336993,1
Q13148,n337306,1
Q13148,n337629,1
O00425,n337644,1
Q13148,n337644,1
Q49AS9,n337649,1
P26599,n337667,1
Q13148,n337667,1
Q15717,n337667,1
Q49AS9,n337667,1
Q9Y6M1,n337667,1
P26599,n337668,1
Q13148,n337668,1
Q13148,n337669,1
P26599,n337671,1
Q15717,n337671,1
Q15717,n337681,1
Q13148,n337683,1
O00425,n337687,1
Q15717,n337687,1
Q9Y6M1,n337687,1
Q49AS9,n337689,1
P26599,n337691,1
P35637,n337698,1
O00425,n337699,1
Q15717,n337699,1
Q15717,n337706,1
Q13148,n337708,1
O00425,n337711,1
P35637,n337711,1
Q15717,n337711,1
Q96PU8,n337711,1
Q9HCE1,n337711,1
Q9NZI8,n337711,1
Q9Y6M1,n337711,1
P35637,n337731,1
Q15717,n337731,1
O00425,n337733,1
P26599,n337733,1
Q15717,n337733,1
Q9NZI8,n337733,1
Q9Y6M1,n337733,1
Q15717,n337740,1
B7ZL34,n337746,1
O00425,n337746,1
P35637,n337746,1
O00425,n337750,1
P35637,n337750,1
Q13148,n337754,1
B7ZL34,n337756,1
O00425,n337756,1
P31483,n337756,1
P35637,n337756,1
Q01844,n337756,1
Q07955,n337756,1
Q13148,n337756,1
Q15717,n337756,1
Q49AS9,n337756,1
Q8NDV7,n337756,1
Q9HCE1,n337756,1
Q9NZI8,n337756,1
Q9UKV8,n337756,1
Q9UL18,n337756,1
Q9Y6M1,n337756,1
O00425,n337757,1
P26599,n337757,1
P31483,n337757,1
P35637,n337757,1
Q07955,n337757,1
Q15717,n337757,1
Q49AS9,n337757,1
Q9Y6M1,n337757,1
P26599,n337758,1
P31483,n337758,1
P35637,n337758,1
Q01844,n337758,1
Q13148,n337758,1
Q15717,n337758,1
Q49AS9,n337758,1
P31483,n337759,1
Q15717,n337759,1
Q49AS9,n337759,1
B7ZL34,n337768,1
O00425,n337768,1
P26599,n337768,1
P35637,n337768,1
Q01844,n337768,1
Q15717,n337768,1
Q9HCE1,n337768,1
Q9NZI8,n337768,1
Q9UKV8,n337768,1
Q9UL18,n337768,1
Q9Y6M1,n337768,1
B7ZL34,n337770,1
Q15717,n337808,1
Q9UKV8,n337809,1
Q9UL18,n337809,1
P26599,n337815,1
Q15717,n337815,1
Q13148,n337829,1
Q15717,n337835,1
P35637,n337840,1
Q13148,n337841,1
Q15717,n337859,1
O00425,n337863,1
Q15717,n337863,1
Q9HCE1,n337863,1
Q9NZI8,n337863,1
Q9UKV8,n337863,1
Q9UL18,n337863,1
Q9Y6M1,n337863,1
P35637,n337864,1
O00425,n337873,1
Q13148,n337873,1
Q15717,n337874,1
P35637,n337886,1
Q15717,n337886,1
Q9NZI8,n337895,1
O00425,n337902,1
P35637,n337902,1
Q01844,n337902,1
Q07955,n337902,1
Q9HCE1,n337902,1
Q9NZI8,n337902,1
Q9Y6M1,n337902,1
Q15717,n337907,1
O00425,n337908,1
Q01844,n337908,1
Q15717,n337908,1
Q9NZI8,n337908,1
Q9Y6M1,n337908,1
Q49AS9,n337911,1
O00425,n337914,1
Q15717,n337914,1
Q9NZI8,n337914,1
Q9UKV8,n337914,1
Q9Y6M1,n337914,1
O00425,n337921,1
Q15717,n337921,1
Q8NDV7,n337921,1
Q9NZI8,n337921,1
Q9Y6M1,n337921,1
O00425,n337928,1
Q15717,n337928,1
Q9HCE1,n337928,1
Q9NZI8,n337928,1
Q9Y6M1,n337928,1
P26599,n337930,1
P31483,n337930,1
Q01844,n337930,1
Q15717,n337930,1
Q9NZI8,n337930,1
Q9Y6M1,n337930,1
Q49AS9,n337939,1
Q13148,n337941,1
B7ZL34,n337950,1
O00425,n337950,1
Q9HCE1,n337950,1
Q9Y6M1,n337950,1
P35637,n337957,1
Q15717,n337966,1
Q15717,n337970,1
P26599,n337977,1
P31483,n337986,1
Q15717,n337986,1
O00425,n337988,1
P35637,n337988,1
Q01844,n337988,1
Q15717,n337988,1
Q49AS9,n337988,1
Q9NZI8,n337988,1
Q9Y6M1,n337988,1
Q15717,n337990,1
Q01844,n337997,1
Q07955,n337997,1
O00425,n337998,1
Q49AS9,n337998,1
O00425,n338000,1
Q49AS9,n338000,1
O00425,n338006,1
Q15717,n338006,1
Q49AS9,n338006,1
Q9UKV8,n338006,1
Q9UL18,n338006,1
Q13148,n338009,1
P35637,n338021,1
O00425,n338024,1
P35637,n338024,1
Q15717,n338024,1
Q9NZI8,n338024,1
O00425,n338027,1
Q15717,n338027,1
Q9NZI8,n338027,1
Q9Y6M1,n338027,1
B7ZL34,n338028,1
O00425,n338028,1
P35637,n338028,1
Q01844,n338028,1
Q15717,n338028,1
Q9NZI8,n338028,1
Q9Y6M1,n338028,1
Q07955,n338047,1
O00425,n338060,1
P31483,n338060,1
Q15717,n338060,1
Q9UKV8,n338060,1
Q9Y6M1,n338060,1
O00425,n338084,1
Q9NZI8,n338084,1
Q9Y6M1,n338084,1
O00425,n338087,1
P35637,n338087,1
Q15717,n338087,1
Q9NZI8,n338087,1
Q9Y6M1,n338087,1
P31483,n338089,1
Q13148,n338089,1
Q15717,n338089,1
Q49AS9,n338089,1
P26599,n338090,1
P26599,n338092,1
Q07955,n338108,1
Q9NZI8,n338108,1
P35637,n338110,1
Q13148,n338112,1
Q15717,n338112,1
B7ZL34,n338114,1
O00425,n338114,1
P31483,n338114,1
Q13148,n338114,1
Q15717,n338114,1
Q49AS9,n338114,1
Q8NDV7,n338114,1
Q9NZI8,n338114,1
Q9UKV8,n338114,1
Q9UL18,n338114,1
Q9Y6M1,n338114,1
Q13148,n338116,1
Q9Y6M1,n338117,1
O00425,n338128,1
Q15717,n338128,1
Q9HCE1,n338128,1
Q9NZI8,n338128,1
Q9Y6M1,n338128,1
O00425,n338129,1
Q9UKV8,n338129,1
Q9UL18,n338129,1
Q15717,n338139,1
Q9Y6M1,n338139,1
O00425,n338142,1
Q15717,n338145,1
O00425,n338146,1
P35637,n338146,1
Q15717,n338146,1
Q13148,n338147,1
Q8NDV7,n338150,1
Q9UKV8,n338150,1
Q9UL18,n338150,1
Q15717,n338156,1
O00425,n338165,1
Q9NZI8,n338165,1
Q9Y6M1,n338165,1
Q07955,n338167,1
P26599,n338196,1
Q9UKV8,n338196,1
O00425,n338197,1
Q15717,n338197,1
Q9NZI8,n338197,1
Q9UKV8,n338197,1
Q9UL18,n338197,1
Q9Y6M1,n338197,1
Q15717,n338202,1
Q15717,n338203,1
O00425,n338204,1
Q15717,n338204,1
Q9NZI8,n338204,1
Q9Y6M1,n338204,1
P26599,n338205,1
Q13148,n338205,1
Q15717,n338205,1
Q8NDV7,n338205,1
Q9UKV8,n338205,1
Q9UL18,n338205,1
O00425,n338207,1
P35637,n338207,1
Q01844,n338207,1
Q15717,n338207,1
Q49AS9,n338207,1
Q9NZI8,n338207,1
Q9Y6M1,n338207,1
Q9NZI8,n338208,1
Q9NZI8,n338217,1
Q9Y6M1,n338217,1
Q13148,n338221,1
O00425,n338222,1
Q9NZI8,n338222,1
O00425,n338223,1
P35637,n338223,1
Q01844,n338223,1
Q15717,n338223,1
Q9NZI8,n338223,1
Q9UKV8,n338223,1
Q9UL18,n338223,1
O00425,n338224,1
Q13148,n338229,1
O00425,n338231,1
Q15717,n338231,1
P35637,n338245,1
P31483,n338249,1
Q49AS9,n338251,1
O00425,n338264,1
Q9NZI8,n338264,1
Q9Y6M1,n338264,1
B7ZL34,n338265,1
Q15717,n338265,1
Q9UKV8,n338265,1
Q15717,n338266,1
P35637,n338270,1
O00425,n338288,1
Q9NZI8,n338288,1
Q9Y6M1,n338288,1
O00425,n338297,1
Q01844,n338297,1
Q15717,n338297,1
Q9Y6M1,n338297,1
P35637,n338298,1
Q15717,n338298,1
Q13148,n338304,1
O00425,n338306,1
Q9NZI8,n338306,1
Q9Y6M1,n338306,1
Q13148,n338322,1
O00425,n338325,1
Q15717,n338325,1
Q9Y6M1,n338325,1
Q15717,n338336,1
Q15717,n338358,1
O00425,n338365,1
Q13148,n338379,1
O00425,n338380,1
Q9Y6M1,n338380,1
Q01844,n338390,1
Q15717,n338390,1
Q9Y6M1,n338390,1
Q07955,n338394,1
B7ZL34,n338398,1
O00425,n338398,1
Q9NZI8,n338398,1
Q9Y6M1,n338398,1
Q13148,n338401,1
O00425,n338404,1
P35637,n338404,1
Q15717,n338404,1
Q49AS9,n338404,1
Q9NZI8,n338404,1
Q9UKV8,n338404,1
Q9UL18,n338404,1
Q9Y6M1,n338404,1
Q15717,n338411,1
Q15717,n338414,1
Q13148,n338415,1
P26599,n338436,1
Q13148,n338437,1
Q9UKV8,n338443,1
Q13148,n338444,1
B7ZL34,n338446,1
O00425,n338446,1
P31483,n338446,1
Q15717,n338446,1
Q49AS9,n338446,1
Q9HCE1,n338446,1
Q9NZI8,n338446,1
Q9UKV8,n338446,1
Q9UL18,n338446,1
Q9Y6M1,n338446,1
Q07955,n338461,1
P35637,n338471,1
Q15717,n338471,1
O00425,n338479,1
P35637,n338479,1
Q01844,n338479,1
Q96PU8,n338479,1
Q15717,n338482,1
Q13148,n338491,1
Q13148,n338494,1
Q13148,n338495,1
O00425,n338500,1
Q15717,n338500,1
Q9UKV8,n338500,1
P35637,n338503,1
Q15717,n338509,1
Q15717,n338510,1
O00425,n338512,1
Q15717,n338512,1
Q9NZI8,n338512,1
Q9UKV8,n338512,1
Q9Y6M1,n338512,1
P35637,n338513,1
Q15717,n338513,1
Q9Y6M1,n338513,1
Q15717,n338521,1
Q49AS9,n338521,1
Q01844,n338522,1
Q9UKV8,n338522,1
Q9UL18,n338522,1
O00425,n338526,1
Q15717,n338526,1
Q8NDV7,n338533,1
O00425,n338540,1
Q13148,n338540,1
Q13148,n338545,1
Q07955,n338547,1
Q9UKV8,n338547,1
Q9UL18,n338547,1
P26599,n338553,1
Q15717,n338553,1
O00425,n338554,1
P35637,n338554,1
Q15717,n338554,1
Q9HCE1,n338554,1
Q9Y6M1,n338554,1
Q15717,n338562,1
Q9NZI8,n338572,1
B7ZL34,n338577,1
O00425,n338577,1
P35637,n338577,1
Q13148,n338577,1
Q15717,n338577,1
Q9HCE1,n338577,1
Q9NZI8,n338577,1
Q9UKV8,n338577,1
Q9UL18,n338577,1
Q9Y6M1,n338577,1
Q15717,n338584,1
O00425,n338591,1
P35637,n338591,1
Q15717,n338591,1
Q9NZI8,n338591,1
Q9UKV8,n338591,1
Q9Y6M1,n338591,1
O00425,n338605,1
Q9Y6M1,n338605,1
Q15717,n338612,1
P35637,n338615,1
Q01844,n338615,1
Q13148,n338615,1
Q96PU8,n338637,1
Q15717,n338641,1
Q15717,n338646,1
O00425,n338647,1
P31483,n338647,1
P35637,n338647,1
Q15717,n338647,1
Q49AS9,n338647,1
Q9NZI8,n338647,1
Q9Y6M1,n338647,1
Q13148,n338650,1
B7ZL34,n338651,1
O00425,n338651,1
Q15717,n338651,1
Q01844,n338652,1
Q15717,n338652,1
Q9NZI8,n338653,1
Q15717,n338656,1
Q15717,n338662,1
Q49AS9,n338662,1
Q15717,n338697,1
Q01844,n338702,1
Q15717,n338702,1
Q9NZI8,n338702,1
Q9Y6M1,n338702,1
Q13148,n338707,1
P26599,n338712,1
Q49AS9,n338721,1
O00425,n338724,1
P31483,n338724,1
P35637,n338724,1
Q15717,n338724,1
Q49AS9,n338724,1
Q9NZI8,n338726,1
Q15717,n338727,1
P35637,n338730,1
Q9Y6M1,n338731,1
Q13148,n338742,1
O00425,n338747,1
O00425,n338750,1
P26599,n338750,1
P31483,n338750,1
P35637,n338750,1
Q15717,n338750,1
Q49AS9,n338750,1
Q96PU8,n338750,1
O00425,n338758,1
P31483,n338758,1
Q15717,n338758,1
Q49AS9,n338758,1
Q9Y6M1,n338758,1
Q13148,n338763,1
Q15717,n338763,1
P35637,n338774,1
Q13148,n338774,1
Q15717,n338774,1
Q9NZI8,n338774,1
Q49AS9,n338776,1
B7ZL34,n338788,1
O00425,n338788,1
P31483,n338788,1
Q13148,n338788,1
Q15717,n338788,1
Q49AS9,n338788,1
Q9NZI8,n338788,1
Q9UKV8,n338788,1
Q9UL18,n338788,1
Q9Y6M1,n338788,1
P26599,n338799,1
B7ZL34,n338810,1
O00425,n338810,1
P35637,n338810,1
Q9HCE1,n338810,1
Q9NZI8,n338810,1
P26599,n338811,1
Q49AS9,n338812,1
P31483,n338822,1
O00425,n338823,1
P35637,n338824,1
P26599,n338832,1
Q15717,n338832,1
P35637,n338833,1
Q15717,n338833,1
O00425,n338835,1
P31483,n338835,1
Q49AS9,n338835,1
Q96PU8,n338835,1
Q9Y6M1,n338835,1
O00425,n338836,1
Q15717,n338836,1
Q15717,n338842,1
Q9Y6M1,n338854,1
O00425,n338856,1
Q15717,n338856,1
Q9NZI8,n338856,1
Q9UKV8,n338856,1
Q9Y6M1,n338856,1
P26599,n338859,1
Q15717,n338859,1
Q15717,n338865,1
Q15717,n338866,1
B7ZL34,n338875,1
O00425,n338875,1
Q9Y6M1,n338875,1
P26599,n338877,1
P35637,n338877,1
Q13148,n338877,1
Q15717,n338877,1
Q8NDV7,n338879,1
O00425,n338882,1
Q9NZI8,n338882,1
Q9Y6M1,n338882,1
Q15717,n338886,1
O00425,n338897,1
Q15717,n338897,1
Q9HCE1,n338897,1
Q9NZI8,n338897,1
Q9UKV8,n338897,1
Q9Y6M1,n338897,1
O00425,n338905,1
Q9NZI8,n338905,1
Q9Y6M1,n338905,1
Q15717,n338922,1
O00425,n338931,1
P31483,n338931,1
P35637,n338931,1
Q13148,n338931,1
Q15717,n338931,1
Q49AS9,n338931,1
Q96PU8,n338931,1
Q9NZI8,n338931,1
Q9UKV8,n338931,1
Q9UL18,n338931,1
Q9Y6M1,n338931,1
Q13148,n338932,1
Q9NZI8,n338960,1
Q07955,n338964,1
Q9Y6M1,n338964,1
Q13148,n338976,1
Q15717,n338976,1
Q07955,n338984,1
Q13148,n338989,1
Q07955,n338991,1
Q15717,n338991,1
Q9UKV8,n338991,1
B7ZL34,n339003,1
O00425,n339003,1
P35637,n339003,1
Q15717,n339003,1
Q8NDV7,n339003,1
Q9HCE1,n339003,1
Q9NZI8,n339003,1
Q9UKV8,n339003,1
Q9UL18,n339003,1
Q9Y6M1,n339003,1
Q15717,n339035,1
Q13148,n339036,1
O00425,n339038,1
Q15717,n339038,1
Q9Y6M1,n339038,1
P31483,n339049,1
Q15717,n339052,1
Q9NZI8,n339052,1
Q15717,n339055,1
Q15717,n339061,1
Q13148,n339063,1
O43251,n339069,1
Q13148,n339073,1
Q15717,n339073,1
Q15717,n339084,1
Q9NZI8,n339084,1
B7ZL34,n339087,1
O00425,n339087,1
Q49AS9,n339087,1
Q9Y6M1,n339087,1
B7ZL34,n339095,1
O00425,n339096,1
Q15717,n339096,1
Q9NZI8,n339096,1
Q9Y6M1,n339096,1
Q49AS9,n339106,1
Q49AS9,n339112,1
O00425,n339118,1
Q15717,n339118,1
Q49AS9,n339118,1
B7ZL34,n339119,1
O00425,n339119,1
P35637,n339119,1
Q01844,n339119,1
Q15717,n339119,1
Q9Y6M1,n339119,1
O00425,n339128,1
Q13148,n339128,1
Q15717,n339128,1
O00425,n339129,1
Q13148,n339129,1
Q15717,n339129,1
Q9NZI8,n339129,1
Q9UKV8,n339129,1
Q9Y6M1,n339129,1
Q07955,n339146,1
P31483,n339156,1
Q15717,n339156,1
Q9UKV8,n339156,1
Q9UL18,n339156,1
P35637,n339158,1
Q01844,n339158,1
Q15717,n339158,1
Q49AS9,n339158,1
P35637,n339179,1
Q13148,n339187,1
O00425,n339188,1
P35637,n339188,1
Q15717,n339188,1
Q9NZI8,n339189,1
Q9NZI8,n339199,1
Q07955,n339210,1
Q13148,n339212,1
Q01844,n339216,1
Q15717,n339216,1
Q9NZI8,n339223,1
Q9Y6M1,n339223,1
P26599,n339226,1
Q15717,n339234,1
O00425,n339250,1
Q13148,n339254,1
O00425,n339255,1
Q15717,n339255,1
Q9NZI8,n339255,1
Q9Y6M1,n339255,1
P26599,n339263,1
O00425,n339264,1
Q15717,n339264,1
Q96PU8,n339264,1
O00425,n339282,1
Q9HCE1,n339282,1
Q9NZI8,n339282,1
Q9Y6M1,n339282,1
Q15717,n339289,1
Q8NDV7,n339289,1
P26599,n339293,1
P26599,n339300,1
O00425,n339304,1
Q9Y6M1,n339304,1
O00425,n339305,1
P31483,n339305,1
P35637,n339305,1
Q15717,n339305,1
Q9NZI8,n339305,1
Q9Y6M1,n339305,1
Q13148,n339306,1
Q9NZI8,n339307,1
Q13148,n339315,1
Q13148,n339333,1
B7ZL34,n339341,1
Q15717,n339341,1
Q9Y6M1,n339341,1
O00425,n339347,1
Q15717,n339347,1
Q9NZI8,n339347,1
Q9Y6M1,n339347,1
Q13148,n339349,1
Q49AS9,n339363,1
Q15717,n339365,1
O00425,n339370,1
Q15717,n339370,1
Q9NZI8,n339370,1
Q9Y6M1,n339370,1
Q13148,n339379,1
O00425,n339380,1
P26599,n339384,1
P26599,n339386,1
Q15717,n339388,1
Q15717,n339390,1
P35637,n339393,1
O00425,n339410,1
P31483,n339419,1
Q13148,n339419,1
Q15717,n339419,1
Q49AS9,n339419,1
P26599,n339421,1
Q13148,n339421,1
Q15717,n339421,1
Q15717,n339431,1
Q8NDV7,n339432,1
Q96PU8,n339432,1
P31483,n339434,1
Q15717,n339434,1
Q49AS9,n339434,1
Q15717,n339435,1
Q15717,n339446,1
P35637,n339451,1
Q13148,n339451,1
Q15717,n339451,1
O00425,n339456,1
B7ZL34,n339461,1
P35637,n339461,1
Q15717,n339461,1
Q96PU8,n339464,1
Q49AS9,n339468,1
O00425,n339486,1
P35637,n339486,1
Q15717,n339490,1
P26599,n339517,1
P35637,n339517,1
O00425,n339518,1
Q15717,n339518,1
Q49AS9,n339518,1
Q9HCE1,n339518,1
Q9UKV8,n339518,1
Q9UL18,n339518,1
Q13148,n339526,1
Q9NZI8,n339526,1
B7ZL34,n339527,1
Q15717,n339533,1
Q96PU8,n339541,1
Q9Y6M1,n339541,1
O00425,n339544,1
Q9UKV8,n339544,1
Q9UL18,n339544,1
O00425,n339552,1
Q9NZI8,n339552,1
Q9Y6M1,n339552,1
P26599,n339556,1
O00425,n339558,1
P31483,n339558,1
Q15717,n339558,1
Q49AS9,n339558,1
Q9Y6M1,n339558,1
O00425,n339567,1
Q15717,n339567,1
B7ZL34,n339579,1
P26599,n339583,1
P26599,n339588,1
Q96PU8,n339595,1
O00425,n339597,1
P35637,n339597,1
Q49AS9,n339597,1
Q9Y6M1,n339602,1
O00425,n339622,1
Q15717,n339622,1
Q9UKV8,n339622,1
Q9UL18,n339622,1
O00425,n339627,1
Q15717,n339627,1
Q9Y6M1,n339627,1
Q01844,n339634,1
Q15717,n339635,1
Q15717,n339636,1
B7ZL34,n339642,1
O00425,n339642,1
P31483,n339642,1
P35637,n339642,1
Q15717,n339642,1
Q9Y6M1,n339642,1
B7ZL34,n339646,1
O00425,n339646,1
Q13148,n339646,1
Q15717,n339646,1
Q96PU8,n339646,1
Q9HCE1,n339646,1
Q9NZI8,n339646,1
Q9UKV8,n339646,1
Q9UL18,n339646,1
Q9Y6M1,n339646,1
Q15717,n339651,1
Q9Y6M1,n339651,1
O00425,n339667,1
Q01844,n339667,1
O00425,n339671,1
P35637,n339671,1
Q9NZI8,n339671,1
P31483,n339673,1
Q15717,n339673,1
Q49AS9,n339673,1
Q15717,n339683,1
Q96PU8,n339686,1
O00425,n339701,1
Q15717,n339701,1
Q9Y6M1,n339701,1
P35637,n339702,1
Q01844,n339702,1
Q15717,n339702,1
Q9NZI8,n339702,1
Q9Y6M1,n339702,1
O00425,n339715,1
Q13148,n339715,1
Q07955,n339727,1
O00425,n339736,1
P31483,n339736,1
Q15717,n339736,1
P35637,n339741,1
Q15717,n339741,1
Q49AS9,n339762,1
P26599,n339768,1
P26599,n339774,1
Q15717,n339786,1
P26599,n339798,1
O00425,n339824,1
O00425,n339828,1
Q9UKV8,n339828,1
Q9UL18,n339828,1
Q9Y6M1,n339828,1
O00425,n339833,1
P31483,n339833,1
P35637,n339833,1
Q01844,n339833,1
Q13148,n339833,1
Q15717,n339833,1
Q49AS9,n339833,1
Q9NZI8,n339833,1
Q9Y6M1,n339833,1
O00425,n339847,1
Q15717,n339847,1
O00425,n339849,1
Q15717,n339849,1
P26599,n339856,1
Q13148,n339857,1
P35637,n339861,1
Q15717,n339861,1
O00425,n339862,1
P26599,n339862,1
Q13148,n339862,1
Q15717,n339862,1
Q96PU8,n339862,1
P31483,n339865,1
Q49AS9,n339865,1
Q01844,n339878,1
O00425,n339886,1
Q15717,n339886,1
Q9NZI8,n339886,1
