,ncIdentifier,prIdentifier,interaction
193,n375526,P31483,1
194,n410191,Q9NZI8,1
195,n379841,Q15717,1
196,n381979,Q07955,1
197,n366714,Q01844,1
198,n345574,Q9Y6M1,1
199,n382553,Q49AS9,1
200,n383747,P35637,1
201,n385667,Q15717,1
202,n385059,Q15717,1
203,n382502,Q15717,1
204,n344996,Q9UL18,1
205,n344996,Q9UKV8,1
206,n344996,Q9H9G7,1
207,n344996,Q9HCK5,1
208,n384655,Q15717,1
209,n344745,Q49AS9,1
210,n383556,O00425,1
211,n345670,P35637,1
212,n386110,Q07955,1
213,n382927,Q07955,1
214,n377707,Q07955,1
215,n368447,P31483,1
216,n407163,Q07955,1
217,n408071,Q07955,1
218,n345781,P31483,1
219,n410161,Q15717,1
220,n344748,Q9UL18,1
221,n344748,Q9UKV8,1
222,n344748,Q9H9G7,1
223,n344748,Q9HCK5,1
224,n407749,Q49AS9,1
225,n344778,P26599,1
226,n407887,Q49AS9,1
227,n378714,O00425,1
228,n386231,Q15717,1
229,n344656,Q9NZI8,1
230,n374660,Q49AS9,1
231,n384936,Q15717,1
232,n407721,P35637,1
233,n409084,P31483,1
234,n381409,Q15717,1
235,n385240,Q07955,1
236,n344627,P35637,1
237,n381509,Q15717,1
238,n385210,Q49AS9,1
239,n346186,P31483,1
240,n406480,Q15717,1
241,n384720,Q15717,1
242,n379718,Q15717,1
243,n405569,Q9Y6M1,1
244,n384936,Q15717,1
245,n382094,Q49AS9,1
246,n410671,Q86X94,1
247,n344741,P35637,1
248,n344530,Q9UKV8,1
249,n344871,Q9Y6M1,1
250,n381430,Q9NZI8,1
251,n382015,Q15717,1
252,n386332,Q9HCE1,1
253,n369769,Q07955,1
254,n383236,Q9UKV8,1
255,n381344,Q9Y6M1,1
256,n407249,Q07955,1
257,n386025,Q9UKV8,1
258,n346535,Q15717,1
259,n407311,Q86X94,1
260,n379340,Q9NZI8,1
261,n406145,Q49AS9,1
262,n375683,Q15717,1
263,n385947,Q13148,1
264,n346545,Q49AS9,1
265,n385512,O00425,1
266,n410638,P35637,1
267,n365737,Q9NZI8,1
268,n344678,Q49AS9,1
269,n345934,Q49AS9,1
270,n345449,Q8NDV7,1
271,n345449,Q9UPQ9,1
272,n345449,Q9HCJ0,1
273,n344659,Q9HCE1,1
274,n344814,Q15717,1
275,n409143,Q13148,1
276,n382233,Q13148,1
277,n386025,O00425,1
278,n383218,Q15717,1
279,n386538,Q9UL18,1
280,n386538,Q9UKV8,1
281,n386538,Q9H9G7,1
282,n386538,Q9HCK5,1
283,n385185,P26599,1
284,n408220,Q9Y6M1,1
285,n382286,Q9NZI8,1
286,n378094,Q01844,1
287,n382094,Q15717,1
288,n374538,Q07955,1
289,n405912,Q07955,1
290,n384624,Q9UL18,1
291,n384624,Q9UKV8,1
292,n384624,Q9H9G7,1
293,n384624,Q9HCK5,1
294,n405399,Q07955,1
295,n344574,Q49AS9,1
296,n344748,Q15717,1
297,n381623,Q15717,1
298,n385370,P26599,1
299,n411142,Q15717,1
300,n411680,Q07955,1
301,n407071,O00425,1
302,n344808,O00425,1
303,n345473,Q15717,1
304,n386448,Q9NZI8,1
305,n385725,Q49AS9,1
306,n406931,Q15717,1
307,n384215,Q9UKV8,1
308,n374530,Q15717,1
309,n367989,Q13148,1
310,n385519,O00425,1
311,n376203,Q9UL18,1
312,n376203,Q9UKV8,1
313,n376203,Q9H9G7,1
314,n376203,Q9HCK5,1
315,n384996,O00425,1
316,n382698,Q07955,1
317,n344748,P35637,1
318,n386025,Q15717,1
319,n365664,Q49AS9,1
320,n381184,Q15717,1
321,n384270,Q15717,1
322,n344814,Q15717,1
323,n407887,P31483,1
324,n345800,P35637,1
325,n376275,Q13148,1
326,n382059,Q49AS9,1
327,n365323,P31483,1
328,n363651,P31483,1
329,n344741,Q9NZI8,1
330,n382094,B7ZL34,1
331,n345059,Q15717,1
332,n346398,Q9NZI8,1
333,n377771,O00425,1
334,n408302,Q07955,1
335,n346464,O00425,1
336,n344775,Q15717,1
337,n381720,Q15717,1
338,n346329,B7ZL34,1
339,n381430,P35637,1
340,n384228,Q49AS9,1
341,n381057,Q49AS9,1
342,n376985,P26599,1
343,n407922,Q15717,1
344,n406883,Q15717,1
345,n381846,P26599,1
346,n377642,Q15717,1
347,n387602,Q9Y6M1,1
348,n381773,Q9UL18,1
349,n381773,Q9UKV8,1
350,n381773,Q9H9G7,1
351,n381773,Q9HCK5,1
352,n386735,Q15717,1
353,n407550,O00425,1
354,n345630,Q49AS9,1
355,n379114,Q13148,1
356,n345421,Q15717,1
357,n384073,P26599,1
358,n381846,Q13148,1
359,n368106,Q49AS9,1
360,n344517,Q49AS9,1
361,n384480,Q9UL18,1
362,n384480,Q9UKV8,1
363,n384480,Q9H9G7,1
364,n384480,Q9HCK5,1
365,n409172,Q07955,1
366,n406296,Q49AS9,1
367,n381521,P35637,1
368,n346404,P26599,1
369,n387060,Q9Y6M1,1
370,n344659,Q01844,1
371,n383230,Q9NZI8,1
372,n386735,Q15717,1
373,n384210,Q49AS9,1
374,n384770,P31483,1
375,n370205,Q49AS9,1
376,n344574,O00425,1
377,n370618,O00425,1
378,n344540,O43251,1
379,n378866,O00425,1
380,n382037,P35637,1
381,n406480,Q9Y6M1,1
382,n383209,Q9Y6M1,1
383,n344658,Q07955,1
384,n381216,Q13148,1
385,n406866,O00425,1
386,n346227,Q07955,1
387,n379350,O00425,1
388,n345322,Q13148,1
389,n345777,Q9NZI8,1
390,n384703,Q15717,1
391,n373886,Q15717,1
392,n370452,P35637,1
393,n381557,Q8NDV7,1
394,n381557,Q9UPQ9,1
395,n381557,Q9HCJ0,1
396,n346167,O00425,1
397,n379692,Q15717,1
398,n345433,P31483,1
399,n381184,O00425,1
400,n385229,O00425,1
401,n379340,P31483,1
402,n382975,Q49AS9,1
403,n377672,Q15717,1
404,n377932,P35637,1
405,n406154,Q9NZI8,1
406,n363933,Q15717,1
407,n385245,Q07955,1
408,n381351,Q9HCE1,1
409,n378107,P35637,1
410,n386976,O00425,1
411,n344778,Q9UKV8,1
412,n410487,Q9NZI8,1
413,n345934,P35637,1
414,n385123,Q15717,1
415,n346464,Q9NZI8,1
416,n380148,Q15717,1
417,n411679,Q07955,1
418,n384227,Q8NDV7,1
419,n384227,Q9UPQ9,1
420,n384227,Q9HCJ0,1
421,n363765,Q9Y6M1,1
422,n385727,Q15717,1
423,n383730,P35637,1
424,n377300,Q13148,1
425,n381846,Q15717,1
426,n344808,Q9Y6M1,1
427,n384202,P35637,1
428,n378880,P35637,1
429,n385185,B7ZL34,1
430,n405705,Q07955,1
431,n384936,Q9UKV8,1
432,n364975,O00425,1
433,n371301,Q15717,1
434,n377818,Q9NZI8,1
435,n381623,Q13148,1
436,n345934,Q15717,1
437,n363765,Q9NZI8,1
438,n377859,P26599,1
439,n381011,Q15717,1
440,n345405,Q13148,1
441,n387393,Q9HCE1,1
442,n386735,Q01844,1
443,n410457,Q01844,1
444,n382643,Q15717,1
445,n345666,P35637,1
446,n377932,Q9NZI8,1
447,n344748,Q15717,1
448,n379406,Q49AS9,1
449,n344960,O00425,1
450,n383233,Q15717,1
451,n344709,Q9Y6M1,1
452,n382077,P35637,1
453,n386682,Q49AS9,1
454,n378252,Q96PU8,1
455,n345070,Q07955,1
456,n379043,Q07955,1
457,n410063,Q9Y6M1,1
458,n410105,Q9Y6M1,1
459,n377799,Q01844,1
460,n385130,Q13148,1
461,n371342,P31483,1
462,n345277,Q9UL18,1
463,n345277,Q9UKV8,1
464,n345277,Q9H9G7,1
465,n345277,Q9HCK5,1
466,n382474,Q07955,1
467,n385229,Q9NZI8,1
468,n371301,Q15717,1
469,n386532,P26599,1
470,n385725,P35637,1
471,n407447,O00425,1
472,n385425,B7ZL34,1
473,n387722,Q9NZI8,1
474,n407588,Q15717,1
475,n382511,Q15717,1
476,n344778,Q15717,1
477,n387210,Q15717,1
478,n344490,Q9UKV8,1
479,n344775,Q9Y6M1,1
480,n383236,Q9UKV8,1
481,n383033,O00425,1
482,n407413,Q9Y6M1,1
483,n346545,Q07955,1
484,n405460,P31483,1
485,n385145,P31483,1
486,n346430,Q15717,1
487,n407071,Q15717,1
488,n407346,P26599,1
489,n346200,Q15717,1
490,n344720,P31483,1
491,n377769,O43251,1
492,n376189,Q15717,1
493,n344547,Q9UKV8,1
494,n344758,Q15717,1
495,n345751,P26599,1
496,n345653,B7ZL34,1
497,n406992,Q15717,1
498,n345405,Q15717,1
499,n385425,Q9Y6M1,1
500,n405569,Q07955,1
501,n345934,O00425,1
502,n345138,P35637,1
503,n407073,Q9UKV8,1
504,n385468,Q86X94,1
505,n344604,P26599,1
506,n364570,Q15717,1
507,n379574,Q49AS9,1
508,n369093,Q15717,1
509,n345385,Q9Y6M1,1
510,n381773,Q07955,1
511,n345255,O00425,1
512,n384625,Q9NZI8,1
513,n365664,Q15717,1
514,n410066,Q15717,1
515,n385667,P26599,1
516,n345105,Q15717,1
517,n345424,P26599,1
518,n406872,Q9UL18,1
519,n406872,Q9UKV8,1
520,n406872,Q9H9G7,1
521,n406872,Q9HCK5,1
522,n380108,P35637,1
523,n406480,Q15717,1
524,n345385,O00425,1
525,n384964,Q15717,1
526,n346398,Q15717,1
527,n383862,Q9Y6M1,1
528,n368044,Q15717,1
529,n409683,Q9UKV8,1
530,n377834,B7ZL34,1
531,n387719,Q86X94,1
532,n377137,Q15717,1
533,n346537,Q9Y6M1,1
534,n379095,Q15717,1
535,n372019,P31483,1
536,n379950,Q15717,1
537,n379972,Q15717,1
538,n344778,Q15717,1
539,n345040,P35637,1
540,n380060,Q13148,1
541,n345685,Q86X94,1
542,n372815,Q9HCE1,1
543,n370574,Q49AS9,1
544,n407851,O00425,1
545,n363933,Q15717,1
546,n405504,Q86X94,1
547,n381272,Q15717,1
548,n382511,B7ZL34,1
549,n346376,Q9HCE1,1
550,n383038,Q07955,1
551,n384770,Q9UL18,1
552,n384770,Q9UKV8,1
553,n384770,Q9H9G7,1
554,n384770,Q9HCK5,1
555,n382502,P35637,1
556,n407073,P35637,1
557,n369997,Q15717,1
558,n364544,Q15717,1
559,n379342,O00425,1
560,n344457,Q9UL18,1
561,n344457,Q9UKV8,1
562,n344457,Q9H9G7,1
563,n344457,Q9HCK5,1
564,n345618,Q13148,1
565,n387393,Q9NZI8,1
566,n385787,Q15717,1
567,n407412,Q07955,1
568,n345568,O00425,1
569,n344778,Q49AS9,1
570,n344653,Q9Y6M1,1
571,n372462,Q15717,1
572,n382094,Q9NZI8,1
573,n381351,P31483,1
574,n344748,Q86X94,1
575,n374061,O00425,1
576,n345046,Q13148,1
577,n364760,O00425,1
578,n372944,Q15717,1
579,n345474,Q15717,1
580,n344693,P35637,1
581,n376189,P35637,1
582,n385245,Q49AS9,1
583,n407311,P35637,1
584,n346356,Q49AS9,1
585,n345260,O00425,1
586,n406192,Q07955,1
587,n345653,O00425,1
588,n384480,P35637,1
589,n410153,Q9NZI8,1
590,n369879,Q9UKV8,1
591,n406144,Q07955,1
592,n373787,Q15717,1
593,n407761,Q9UKV8,1
594,n385425,Q49AS9,1
595,n406225,Q13148,1
596,n411680,Q9Y6M1,1
597,n387706,P31483,1
598,n377981,Q13148,1
599,n411142,Q9Y6M1,1
600,n385729,Q9NZI8,1
601,n377310,Q15717,1
602,n344771,Q13148,1
603,n344604,Q9Y6M1,1
604,n380806,Q49AS9,1
605,n368398,Q13148,1
606,n345622,Q15717,1
607,n379466,Q15717,1
608,n407513,Q9UKV8,1
609,n386343,Q9HCE1,1
610,n344960,Q15717,1
611,n384927,Q9NZI8,1
612,n344775,Q96PU8,1
613,n405416,Q15717,1
614,n383175,Q9NZI8,1
615,n381912,O00425,1
616,n381878,Q9UL18,1
617,n381878,Q9UKV8,1
618,n381878,Q9H9G7,1
619,n381878,Q9HCK5,1
620,n386641,Q9NZI8,1
621,n383327,Q15717,1
622,n369453,Q01844,1
623,n364088,Q49AS9,1
624,n344699,Q9NZI8,1
625,n411720,Q15717,1
626,n376473,Q9HCE1,1
627,n381078,Q49AS9,1
628,n372524,Q49AS9,1
629,n344894,Q9NZI8,1
630,n346094,Q01844,1
631,n377639,Q15717,1
632,n382276,Q13148,1
633,n386977,Q9NZI8,1
634,n345807,Q15717,1
635,n386178,Q07955,1
636,n409683,Q15717,1
637,n364686,O00425,1
638,n344703,P35637,1
639,n405484,Q13148,1
640,n411727,Q07955,1
641,n405417,Q07955,1
642,n407257,Q07955,1
643,n344745,Q9UKV8,1
644,n344461,Q49AS9,1
645,n375715,Q13148,1
646,n386682,Q15717,1
647,n384946,Q49AS9,1
648,n374530,Q9HCE1,1
649,n345297,Q13148,1
650,n407520,Q15717,1
651,n376203,Q9NZI8,1
652,n410457,Q9NZI8,1
653,n385729,Q9Y6M1,1
654,n381022,Q9UKV8,1
655,n378726,Q49AS9,1
656,n381616,O00425,1
657,n383209,Q07955,1
658,n385039,O00425,1
659,n407729,Q07955,1
660,n345458,Q01844,1
661,n382231,Q9HCE1,1
662,n373790,P35637,1
663,n381585,Q15717,1
664,n385531,Q07955,1
665,n346361,O00425,1
666,n407887,Q13148,1
667,n377837,Q15717,1
668,n385679,O00425,1
669,n378125,Q15717,1
670,n345386,P35637,1
671,n345781,Q15717,1
672,n383025,Q9UKV8,1
673,n346523,O00425,1
674,n378252,Q13285,1
675,n378353,Q15717,1
676,n385511,Q15717,1
677,n344678,P35637,1
678,n378068,P35637,1
679,n377986,Q15717,1
680,n386209,Q15717,1
681,n408116,P35637,1
682,n345232,Q15717,1
683,n379454,B7ZL34,1
684,n344628,P35637,1
685,n387306,Q15717,1
686,n406409,Q07955,1
687,n386682,Q9Y6M1,1
688,n345670,Q86X94,1
689,n377799,Q9NZI8,1
690,n344659,P35637,1
691,n383862,Q96PU8,1
692,n387017,Q07955,1
693,n409683,O00425,1
694,n406866,Q49AS9,1
695,n378068,P31483,1
696,n382149,Q49AS9,1
697,n381078,Q9UKV8,1
698,n383236,Q15717,1
699,n385425,O00425,1
700,n344996,Q9Y6M1,1
701,n379107,Q9NZI8,1
702,n405620,Q9NZI8,1
703,n380796,Q13148,1
704,n378247,P26599,1
705,n411142,O00425,1
706,n387112,Q07955,1
707,n405985,Q07955,1
708,n345613,Q13148,1
709,n385272,Q13148,1
710,n344691,O00425,1
711,n345175,B7ZL34,1
712,n382982,Q15717,1
713,n406449,Q9NZI8,1
714,n367375,Q15717,1
715,n386976,Q96PU8,1
716,n379426,Q07955,1
717,n407565,Q07955,1
718,n387531,Q49AS9,1
719,n346497,Q07955,1
720,n376366,Q13148,1
721,n345161,Q9NZI8,1
722,n376473,P31483,1
723,n405477,Q15717,1
724,n344500,Q9Y6M1,1
725,n385119,Q9NZI8,1
726,n344768,Q15717,1
727,n381351,Q96PU8,1
728,n386627,Q07955,1
729,n387393,Q15717,1
730,n385638,Q9UL18,1
731,n385638,Q9UKV8,1
732,n385638,Q9H9G7,1
733,n385638,Q9HCK5,1
734,n372205,Q9NZI8,1
735,n383218,Q15717,1
736,n371524,P35637,1
737,n364085,Q13148,1
738,n384348,Q07955,1
739,n385106,P26599,1
740,n382918,Q9NZI8,1
741,n407163,P35637,1
742,n344814,Q9Y6M1,1
743,n406480,Q9UKV8,1
744,n382094,O00425,1
745,n408051,P26599,1
746,n345527,Q9Y6M1,1
747,n345670,Q15717,1
748,n366396,Q13148,1
749,n386260,P31483,1
750,n346012,Q07955,1
751,n384393,Q49AS9,1
752,n385729,Q01844,1
753,n409519,Q07955,1
754,n379378,P26599,1
755,n385318,P26599,1
756,n381184,Q9Y6M1,1
757,n406444,Q15717,1
758,n384770,Q86X94,1
759,n386029,P26599,1
760,n387748,Q07955,1
761,n380163,Q13148,1
762,n376473,P35637,1
763,n345091,Q9HCE1,1
764,n346551,Q8NDV7,1
765,n346551,Q9UPQ9,1
766,n346551,Q9HCJ0,1
767,n372674,Q8NDV7,1
768,n372674,Q9UPQ9,1
769,n372674,Q9HCJ0,1
770,n344745,Q9UKV8,1
771,n345222,O00425,1
772,n344569,P26599,1
773,n344691,P35637,1
774,n367640,Q9UKV8,1
775,n385240,Q15717,1
776,n385829,Q07955,1
777,n344940,Q07955,1
778,n379972,Q49AS9,1
779,n345800,Q9HCE1,1
780,n344490,P31483,1
781,n377717,Q15717,1
782,n405504,P35637,1
783,n386588,Q07955,1
784,n386025,Q15717,1
785,n379466,B7ZL34,1
786,n381216,Q15717,1
787,n385481,Q96PU8,1
788,n381878,O00425,1
789,n382060,Q15717,1
790,n409540,P31483,1
791,n377766,P26599,1
792,n381231,Q15717,1
793,n407073,Q15717,1
794,n383184,Q15717,1
795,n385468,P35637,1
796,n344871,O00425,1
797,n386154,Q07955,1
798,n387192,Q15717,1
799,n344778,Q15717,1
800,n407434,P26599,1
801,n378866,Q15717,1
802,n380693,Q9UKV8,1
803,n381899,P31483,1
804,n384480,Q9Y6M1,1
805,n346032,P35637,1
806,n384625,Q01844,1
807,n385951,Q9HCE1,1
808,n372674,O00425,1
809,n378912,O00425,1
810,n346082,O00425,1
811,n375459,P31483,1
812,n373241,Q15717,1
813,n385729,Q15717,1
814,n376991,Q15717,1
815,n345557,Q15717,1
816,n346467,Q07955,1
817,n387060,Q9NZI8,1
818,n386524,Q15717,1
819,n383693,Q9NZI8,1
820,n407434,Q01844,1
821,n345421,P31483,1
822,n345637,Q9Y6M1,1
823,n382511,O00425,1
824,n387397,Q86X94,1
825,n345222,P35637,1
826,n345385,P35637,1
827,n344677,P35637,1
828,n372614,P35637,1
829,n410076,Q49AS9,1
830,n363484,Q01844,1
831,n385758,Q13148,1
832,n379581,O00425,1
833,n345395,Q13148,1
834,n380489,Q49AS9,1
835,n376420,Q15717,1
836,n344995,Q9HCE1,1
837,n344724,Q49AS9,1
838,n384754,Q07955,1
839,n410143,Q15717,1
840,n381568,Q15717,1
841,n386539,Q13148,1
842,n385310,Q07955,1
843,n346528,Q9Y6M1,1
844,n344705,Q13148,1
845,n408016,Q07955,1
846,n376433,Q9NZI8,1
847,n410038,Q15717,1
848,n384422,Q9NZI8,1
849,n406605,Q15717,1
850,n346126,Q07955,1
851,n385685,P26599,1
852,n385725,Q15717,1
853,n410188,Q9Y6M1,1
854,n407050,Q9NZI8,1
855,n381941,P26599,1
856,n373805,Q13148,1
857,n368267,O00425,1
858,n383773,P35637,1
859,n409250,O43251,1
860,n380693,Q9NZI8,1
861,n344659,Q9NZI8,1
862,n382930,Q15717,1
863,n406422,Q07955,1
864,n380909,P31483,1
865,n382330,P26599,1
866,n383236,Q9UL18,1
867,n383236,Q9UKV8,1
868,n383236,Q9H9G7,1
869,n383236,Q9HCK5,1
870,n345685,O00425,1
871,n363933,Q9NZI8,1
872,n406336,Q15717,1
873,n409406,Q9HCE1,1
874,n345437,Q86X94,1
875,n346247,Q07955,1
876,n380263,Q07955,1
877,n345941,Q86X94,1
878,n381272,Q13148,1
879,n375745,Q13148,1
880,n371912,Q49AS9,1
881,n383556,Q15717,1
882,n375747,Q13148,1
883,n369876,Q07955,1
884,n379442,Q9NZI8,1
885,n408354,Q15717,1
886,n346528,Q15717,1
887,n345457,Q9NZI8,1
888,n386025,Q15717,1
889,n407211,Q9Y6M1,1
890,n382989,O00425,1
891,n407400,P35637,1
892,n365664,Q15717,1
893,n344755,Q15717,1
894,n344748,P35637,1
895,n386815,Q07955,1
896,n345222,Q9UKV8,1
897,n381846,Q9NZI8,1
898,n377015,Q13148,1
899,n344793,Q9Y6M1,1
900,n344656,Q07955,1
901,n381011,Q49AS9,1
902,n383025,Q15717,1
903,n381580,Q07955,1
904,n406931,P26599,1
905,n385261,Q13148,1
906,n346200,Q15717,1
907,n383906,Q13148,1
908,n381351,Q9NZI8,1
909,n381344,P35637,1
910,n406201,Q9NZI8,1
911,n386976,Q13148,1
912,n381011,O00425,1
913,n409672,Q9Y6M1,1
914,n381409,P31483,1
915,n410105,O00425,1
916,n376381,Q15717,1
917,n376248,Q9UKV8,1
918,n372987,Q15717,1
919,n346288,Q49AS9,1
920,n346492,Q9NZI8,1
921,n406566,Q07955,1
922,n344745,Q15717,1
923,n379336,Q13148,1
924,n376189,Q01844,1
925,n375021,P26599,1
926,n407534,Q96PU8,1
927,n346040,Q9UKV8,1
928,n385951,Q15717,1
929,n345574,O00425,1
930,n345310,P35637,1
931,n410565,Q15717,1
932,n410249,Q15717,1
933,n345139,P35637,1
934,n346101,O00425,1
935,n387063,P31483,1
936,n344778,P35637,1
937,n410005,Q07955,1
938,n345544,P35637,1
939,n385725,Q8NDV7,1
940,n385725,Q9UPQ9,1
941,n385725,Q9HCJ0,1
942,n377740,Q9Y6M1,1
943,n382094,Q9Y6M1,1
944,n406201,Q9Y6M1,1
945,n363309,Q15717,1
946,n385688,Q15717,1
947,n344547,Q01844,1
948,n385145,Q86X94,1
949,n344814,Q49AS9,1
950,n346551,Q9Y6M1,1
951,n383234,Q9Y6M1,1
952,n409707,O00425,1
953,n407721,Q15717,1
954,n345175,Q15717,1
955,n382131,Q15717,1
956,n384227,Q13148,1
957,n345288,Q13148,1
958,n344872,Q15717,1
959,n346200,Q9Y6M1,1
960,n385370,O00425,1
961,n345246,Q15717,1
962,n409674,B7ZL34,1
963,n344610,O00425,1
964,n383019,Q9HCE1,1
965,n386682,Q01844,1
966,n344995,Q15717,1
967,n382220,P35637,1
968,n410249,Q15717,1
969,n344658,Q15717,1
970,n345653,Q9NZI8,1
971,n406274,Q9UKV8,1
972,n345670,P35637,1
973,n344659,Q9Y6M1,1
974,n387393,Q9UKV8,1
975,n377982,Q13148,1
976,n385468,Q15717,1
977,n346398,Q9UKV8,1
978,n406914,Q15717,1
979,n372935,O00425,1
980,n366279,Q49AS9,1
981,n406444,Q07955,1
982,n379114,Q15717,1
983,n383693,O00425,1
984,n409180,O00425,1
985,n345417,Q49AS9,1
986,n377664,Q9UKV8,1
987,n385727,Q9Y6M1,1
988,n377834,O00425,1
989,n375477,O00425,1
990,n345222,Q9UKV8,1
991,n363878,Q49AS9,1
992,n406201,Q07955,1
993,n384624,Q9UKV8,1
994,n364206,Q07955,1
995,n344871,Q15717,1
996,n375746,Q13148,1
997,n371684,Q15717,1
998,n346128,Q07955,1
999,n344496,Q07955,1
1000,n345182,Q49AS9,1
1001,n375209,Q49AS9,1
1002,n405893,Q49AS9,1
1003,n407851,Q9NZI8,1
1004,n383231,Q15717,1
1005,n408353,Q9NZI8,1
1006,n387060,Q9UL18,1
1007,n387060,Q9UKV8,1
