ncIdentifier,prIdentifier,interaction
n345449,Q9UPQ9,1
n345449,Q9HCJ0,1
n344659,Q9HCE1,1
n344814,Q15717,1
n409143,Q13148,1
n382233,Q13148,1
n386025,O00425,1
n383218,Q15717,1
n386538,Q9UL18,1
n386538,Q9UKV8,1
n386538,Q9H9G7,1
n386538,Q9HCK5,1
n385185,P26599,1
n408220,Q9Y6M1,1
n382286,Q9NZI8,1
n378094,Q01844,1
n382094,Q15717,1
n374538,Q07955,1
n405912,Q07955,1
n384624,Q9UL18,1
n384624,Q9UKV8,1
n384624,Q9H9G7,1
n384624,Q9HCK5,1
n405399,Q07955,1
n344574,Q49AS9,1
n344748,Q15717,1
n381623,Q15717,1
n385370,P26599,1
n411142,Q15717,1
n411680,Q07955,1
n407071,O00425,1
n344808,O00425,1
n345473,Q15717,1
n386448,Q9NZI8,1
n385725,Q49AS9,1
n406931,Q15717,1
n384215,Q9UKV8,1
n374530,Q15717,1
n367989,Q13148,1
n385519,O00425,1
n376203,Q9UL18,1
n376203,Q9UKV8,1
n376203,Q9H9G7,1
n376203,Q9HCK5,1
n384996,O00425,1
n382698,Q07955,1
n344748,P35637,1
n386025,Q15717,1
n365664,Q49AS9,1
n381184,Q15717,1
n384270,Q15717,1
n344814,Q15717,1
n407887,P31483,1
n345800,P35637,1
n376275,Q13148,1
n382059,Q49AS9,1
n365323,P31483,1
n363651,P31483,1
n344741,Q9NZI8,1
n382094,B7ZL34,1
n345059,Q15717,1
n346398,Q9NZI8,1
n377771,O00425,1
n408302,Q07955,1
n346464,O00425,1
n344775,Q15717,1
n381720,Q15717,1
n346329,B7ZL34,1
n381430,P35637,1
n384228,Q49AS9,1
n381057,Q49AS9,1
n376985,P26599,1
n407922,Q15717,1
n406883,Q15717,1
n381846,P26599,1
n377642,Q15717,1
n387602,Q9Y6M1,1
n381773,Q9UL18,1
n381773,Q9UKV8,1
n381773,Q9H9G7,1
n381773,Q9HCK5,1
n386735,Q15717,1
n407550,O00425,1
n345630,Q49AS9,1
n379114,Q13148,1
n345421,Q15717,1
n384073,P26599,1
n381846,Q13148,1
n368106,Q49AS9,1
n344517,Q49AS9,1
n384480,Q9UL18,1
n384480,Q9UKV8,1
n384480,Q9H9G7,1
n384480,Q9HCK5,1
n409172,Q07955,1
n406296,Q49AS9,1
n381521,P35637,1
n346404,P26599,1
n387060,Q9Y6M1,1
n344659,Q01844,1
n383230,Q9NZI8,1
n386735,Q15717,1
n384210,Q49AS9,1
n384770,P31483,1
n370205,Q49AS9,1
n344574,O00425,1
n370618,O00425,1
n344540,O43251,1
n378866,O00425,1
n382037,P35637,1
n406480,Q9Y6M1,1
n383209,Q9Y6M1,1
n344658,Q07955,1
n381216,Q13148,1
n406866,O00425,1
n346227,Q07955,1
n379350,O00425,1
n345322,Q13148,1
n345777,Q9NZI8,1
n384703,Q15717,1
n373886,Q15717,1
n370452,P35637,1
n381557,Q8NDV7,1
n381557,Q9UPQ9,1
n381557,Q9HCJ0,1
n346167,O00425,1
n379692,Q15717,1
n345433,P31483,1
n381184,O00425,1
n385229,O00425,1
n379340,P31483,1
n382975,Q49AS9,1
n377672,Q15717,1
n377932,P35637,1
n406154,Q9NZI8,1
n363933,Q15717,1
n385245,Q07955,1
n381351,Q9HCE1,1
n378107,P35637,1
n386976,O00425,1
n344778,Q9UKV8,1
n410487,Q9NZI8,1
n345934,P35637,1
n385123,Q15717,1
n346464,Q9NZI8,1
n380148,Q15717,1
n411679,Q07955,1
n384227,Q8NDV7,1
n384227,Q9UPQ9,1
n384227,Q9HCJ0,1
n363765,Q9Y6M1,1
n385727,Q15717,1
n383730,P35637,1
n377300,Q13148,1
n381846,Q15717,1
n344808,Q9Y6M1,1
n384202,P35637,1
n378880,P35637,1
n385185,B7ZL34,1
n405705,Q07955,1
n384936,Q9UKV8,1
n364975,O00425,1
n371301,Q15717,1
n377818,Q9NZI8,1
n381623,Q13148,1
n345934,Q15717,1
n363765,Q9NZI8,1
n377859,P26599,1
n381011,Q15717,1
n345405,Q13148,1
n387393,Q9HCE1,1
n386735,Q01844,1
n410457,Q01844,1
n382643,Q15717,1
n345666,P35637,1
n377932,Q9NZI8,1
n344748,Q15717,1
n379406,Q49AS9,1
n344960,O00425,1
n383233,Q15717,1
n344709,Q9Y6M1,1
n382077,P35637,1
n386682,Q49AS9,1
n378252,Q96PU8,1
n345070,Q07955,1
n379043,Q07955,1
n410063,Q9Y6M1,1
n410105,Q9Y6M1,1
n377799,Q01844,1
n385130,Q13148,1
n371342,P31483,1
n345277,Q9UL18,1
n345277,Q9UKV8,1
n345277,Q9H9G7,1
n345277,Q9HCK5,1
n382474,Q07955,1
n385229,Q9NZI8,1
n371301,Q15717,1
n386532,P26599,1
n385725,P35637,1
n407447,O00425,1
n385425,B7ZL34,1
n387722,Q9NZI8,1
n407588,Q15717,1
n382511,Q15717,1
n344778,Q15717,1
n387210,Q15717,1
n344490,Q9UKV8,1
n344775,Q9Y6M1,1
n383236,Q9UKV8,1
n383033,O00425,1
n407413,Q9Y6M1,1
n346545,Q07955,1
n405460,P31483,1
n385145,P31483,1
n346430,Q15717,1
n407071,Q15717,1
n407346,P26599,1
n346200,Q15717,1
n344720,P31483,1
n377769,O43251,1
n376189,Q15717,1
n344547,Q9UKV8,1
n344758,Q15717,1
n345751,P26599,1
n345653,B7ZL34,1
n406992,Q15717,1
n345405,Q15717,1
n385425,Q9Y6M1,1
n405569,Q07955,1
n345934,O00425,1
n345138,P35637,1
n407073,Q9UKV8,1
n385468,Q86X94,1
n344604,P26599,1
n364570,Q15717,1
n379574,Q49AS9,1
n369093,Q15717,1
n345385,Q9Y6M1,1
n381773,Q07955,1
n345255,O00425,1
n384625,Q9NZI8,1
n365664,Q15717,1
n410066,Q15717,1
n385667,P26599,1
n345105,Q15717,1
n345424,P26599,1
n406872,Q9UL18,1
n406872,Q9UKV8,1
n406872,Q9H9G7,1
n406872,Q9HCK5,1
n380108,P35637,1
n406480,Q15717,1
n345385,O00425,1
n384964,Q15717,1
n346398,Q15717,1
n383862,Q9Y6M1,1
n368044,Q15717,1
n409683,Q9UKV8,1
n377834,B7ZL34,1
n387719,Q86X94,1
n377137,Q15717,1
n346537,Q9Y6M1,1
n379095,Q15717,1
n372019,P31483,1
n379950,Q15717,1
n379972,Q15717,1
n344778,Q15717,1
n345040,P35637,1
n380060,Q13148,1
n345685,Q86X94,1
n372815,Q9HCE1,1
n370574,Q49AS9,1
n407851,O00425,1
n363933,Q15717,1
n405504,Q86X94,1
n381272,Q15717,1
n382511,B7ZL34,1
n346376,Q9HCE1,1
n383038,Q07955,1
n384770,Q9UL18,1
n384770,Q9UKV8,1
n384770,Q9H9G7,1
n384770,Q9HCK5,1
n382502,P35637,1
n407073,P35637,1
n369997,Q15717,1
n364544,Q15717,1
n379342,O00425,1
n344457,Q9UL18,1
n344457,Q9UKV8,1
n344457,Q9H9G7,1
n344457,Q9HCK5,1
n345618,Q13148,1
n387393,Q9NZI8,1
n385787,Q15717,1
n407412,Q07955,1
n345568,O00425,1
n344778,Q49AS9,1
n344653,Q9Y6M1,1
n372462,Q15717,1
n382094,Q9NZI8,1
n381351,P31483,1
n344748,Q86X94,1
n374061,O00425,1
n345046,Q13148,1
n364760,O00425,1
n372944,Q15717,1
n345474,Q15717,1
n344693,P35637,1
n376189,P35637,1
n385245,Q49AS9,1
n407311,P35637,1
n346356,Q49AS9,1
n345260,O00425,1
n406192,Q07955,1
n345653,O00425,1
n384480,P35637,1
n410153,Q9NZI8,1
n369879,Q9UKV8,1
n406144,Q07955,1
n373787,Q15717,1
n407761,Q9UKV8,1
n385425,Q49AS9,1
n406225,Q13148,1
n411680,Q9Y6M1,1
n387706,P31483,1
n377981,Q13148,1
n411142,Q9Y6M1,1
n385729,Q9NZI8,1
n377310,Q15717,1
n344771,Q13148,1
n344604,Q9Y6M1,1
n380806,Q49AS9,1
n368398,Q13148,1
n345622,Q15717,1
n379466,Q15717,1
n407513,Q9UKV8,1
n386343,Q9HCE1,1
n344960,Q15717,1
n384927,Q9NZI8,1
n344775,Q96PU8,1
n405416,Q15717,1
n383175,Q9NZI8,1
n381912,O00425,1
n381878,Q9UL18,1
n381878,Q9UKV8,1
n381878,Q9H9G7,1
n381878,Q9HCK5,1
n386641,Q9NZI8,1
n383327,Q15717,1
n369453,Q01844,1
n364088,Q49AS9,1
n344699,Q9NZI8,1
n411720,Q15717,1
n376473,Q9HCE1,1
n381078,Q49AS9,1
n372524,Q49AS9,1
n344894,Q9NZI8,1
n346094,Q01844,1
n377639,Q15717,1
n382276,Q13148,1
n386977,Q9NZI8,1
n345807,Q15717,1
n386178,Q07955,1
n409683,Q15717,1
n364686,O00425,1
n344703,P35637,1
n405484,Q13148,1
n411727,Q07955,1
n405417,Q07955,1
n407257,Q07955,1
n344745,Q9UKV8,1
n344461,Q49AS9,1
n375715,Q13148,1
n386682,Q15717,1
n384946,Q49AS9,1
n374530,Q9HCE1,1
n345297,Q13148,1
n407520,Q15717,1
n376203,Q9NZI8,1
n410457,Q9NZI8,1
n385729,Q9Y6M1,1
n381022,Q9UKV8,1
n378726,Q49AS9,1
n381616,O00425,1
n383209,Q07955,1
n385039,O00425,1
n407729,Q07955,1
n345458,Q01844,1
n382231,Q9HCE1,1
n373790,P35637,1
n381585,Q15717,1
n385531,Q07955,1
n346361,O00425,1
n407887,Q13148,1
n377837,Q15717,1
n385679,O00425,1
n378125,Q15717,1
n345386,P35637,1
n345781,Q15717,1
n383025,Q9UKV8,1
n346523,O00425,1
n378252,Q13285,1
n378353,Q15717,1
n385511,Q15717,1
n344678,P35637,1
n378068,P35637,1
n377986,Q15717,1
n386209,Q15717,1
n408116,P35637,1
n345232,Q15717,1
n379454,B7ZL34,1
n344628,P35637,1
n387306,Q15717,1
n406409,Q07955,1
n386682,Q9Y6M1,1
n345670,Q86X94,1
n377799,Q9NZI8,1
n344659,P35637,1
n383862,Q96PU8,1
n387017,Q07955,1
n409683,O00425,1
n406866,Q49AS9,1
n378068,P31483,1
n382149,Q49AS9,1
n381078,Q9UKV8,1
n383236,Q15717,1
n385425,O00425,1
n344996,Q9Y6M1,1
n379107,Q9NZI8,1
n405620,Q9NZI8,1
n380796,Q13148,1
n378247,P26599,1
n411142,O00425,1
n387112,Q07955,1
n405985,Q07955,1
n345613,Q13148,1
n385272,Q13148,1
n344691,O00425,1
n345175,B7ZL34,1
n382982,Q15717,1
n406449,Q9NZI8,1
n367375,Q15717,1
n386976,Q96PU8,1
n379426,Q07955,1
n407565,Q07955,1
n387531,Q49AS9,1
n346497,Q07955,1
n376366,Q13148,1
n345161,Q9NZI8,1
n376473,P31483,1
n405477,Q15717,1
n344500,Q9Y6M1,1
n385119,Q9NZI8,1
n344768,Q15717,1
n381351,Q96PU8,1
n386627,Q07955,1
n387393,Q15717,1
n385638,Q9UL18,1
n385638,Q9UKV8,1
n385638,Q9H9G7,1
n385638,Q9HCK5,1
n372205,Q9NZI8,1
n383218,Q15717,1
n371524,P35637,1
n364085,Q13148,1
n384348,Q07955,1
n385106,P26599,1
n382918,Q9NZI8,1
n407163,P35637,1
n344814,Q9Y6M1,1
n406480,Q9UKV8,1
n382094,O00425,1
n408051,P26599,1
n345527,Q9Y6M1,1
n345670,Q15717,1
n366396,Q13148,1
n386260,P31483,1
n346012,Q07955,1
n384393,Q49AS9,1
n385729,Q01844,1
n409519,Q07955,1
n379378,P26599,1
n385318,P26599,1
n381184,Q9Y6M1,1
n406444,Q15717,1
n384770,Q86X94,1
n386029,P26599,1
n387748,Q07955,1
n380163,Q13148,1
n376473,P35637,1
n345091,Q9HCE1,1
n346551,Q8NDV7,1
n346551,Q9UPQ9,1
n346551,Q9HCJ0,1
n372674,Q8NDV7,1
n372674,Q9UPQ9,1
n372674,Q9HCJ0,1
n344745,Q9UKV8,1
n345222,O00425,1
n344569,P26599,1
n344691,P35637,1
n367640,Q9UKV8,1
n385240,Q15717,1
n385829,Q07955,1
n344940,Q07955,1
n379972,Q49AS9,1
n345800,Q9HCE1,1
n344490,P31483,1
n377717,Q15717,1
n405504,P35637,1
n386588,Q07955,1
n386025,Q15717,1
n379466,B7ZL34,1
n381216,Q15717,1
n385481,Q96PU8,1
n381878,O00425,1
n382060,Q15717,1
n409540,P31483,1
n377766,P26599,1
n381231,Q15717,1
n407073,Q15717,1
n383184,Q15717,1
n385468,P35637,1
n344871,O00425,1
n386154,Q07955,1
n387192,Q15717,1
n344778,Q15717,1
n407434,P26599,1
n378866,Q15717,1
n380693,Q9UKV8,1
n381899,P31483,1
n384480,Q9Y6M1,1
n346032,P35637,1
n384625,Q01844,1
n385951,Q9HCE1,1
n372674,O00425,1
n378912,O00425,1
n346082,O00425,1
n375459,P31483,1
n373241,Q15717,1
n385729,Q15717,1
n376991,Q15717,1
n345557,Q15717,1
n346467,Q07955,1
n387060,Q9NZI8,1
n386524,Q15717,1
n383693,Q9NZI8,1
n407434,Q01844,1
n345421,P31483,1
n345637,Q9Y6M1,1
n382511,O00425,1
n387397,Q86X94,1
n345222,P35637,1
n345385,P35637,1
n344677,P35637,1
n372614,P35637,1
n410076,Q49AS9,1
n363484,Q01844,1
n385758,Q13148,1
n379581,O00425,1
n345395,Q13148,1
n380489,Q49AS9,1
n376420,Q15717,1
n344995,Q9HCE1,1
n344724,Q49AS9,1
n384754,Q07955,1
n410143,Q15717,1
n381568,Q15717,1
n386539,Q13148,1
n385310,Q07955,1
n346528,Q9Y6M1,1
n344705,Q13148,1
n408016,Q07955,1
n376433,Q9NZI8,1
n410038,Q15717,1
n384422,Q9NZI8,1
n406605,Q15717,1
n346126,Q07955,1
n385685,P26599,1
n385725,Q15717,1
n410188,Q9Y6M1,1
n407050,Q9NZI8,1
n381941,P26599,1
n373805,Q13148,1
n368267,O00425,1
n383773,P35637,1
n409250,O43251,1
n380693,Q9NZI8,1
n344659,Q9NZI8,1
n382930,Q15717,1
n406422,Q07955,1
n380909,P31483,1
n382330,P26599,1
n383236,Q9UL18,1
n383236,Q9UKV8,1
n383236,Q9H9G7,1
n383236,Q9HCK5,1
n345685,O00425,1
n363933,Q9NZI8,1
n406336,Q15717,1
n409406,Q9HCE1,1
n345437,Q86X94,1
n346247,Q07955,1
n380263,Q07955,1
n345941,Q86X94,1
n381272,Q13148,1
n375745,Q13148,1
n371912,Q49AS9,1
n383556,Q15717,1
n375747,Q13148,1
n369876,Q07955,1
n379442,Q9NZI8,1
n408354,Q15717,1
n346528,Q15717,1
n345457,Q9NZI8,1
n386025,Q15717,1
n407211,Q9Y6M1,1
n382989,O00425,1
n407400,P35637,1
n365664,Q15717,1
n344755,Q15717,1
n344748,P35637,1
n386815,Q07955,1
n345222,Q9UKV8,1
n381846,Q9NZI8,1
n377015,Q13148,1
n344793,Q9Y6M1,1
n344656,Q07955,1
n381011,Q49AS9,1
n383025,Q15717,1
n381580,Q07955,1
n406931,P26599,1
n385261,Q13148,1
n346200,Q15717,1
n383906,Q13148,1
n381351,Q9NZI8,1
n381344,P35637,1
n406201,Q9NZI8,1
n386976,Q13148,1
n381011,O00425,1
n409672,Q9Y6M1,1
n381409,P31483,1
n410105,O00425,1
n376381,Q15717,1
n376248,Q9UKV8,1
n372987,Q15717,1
n346288,Q49AS9,1
n346492,Q9NZI8,1
n406566,Q07955,1
n344745,Q15717,1
n379336,Q13148,1
n376189,Q01844,1
n375021,P26599,1
n407534,Q96PU8,1
n346040,Q9UKV8,1
n385951,Q15717,1
n345574,O00425,1
n345310,P35637,1
n410565,Q15717,1
n410249,Q15717,1
n345139,P35637,1
n346101,O00425,1
n387063,P31483,1
n344778,P35637,1
n410005,Q07955,1
n345544,P35637,1
n385725,Q8NDV7,1
n385725,Q9UPQ9,1
n385725,Q9HCJ0,1
n377740,Q9Y6M1,1
n382094,Q9Y6M1,1
n406201,Q9Y6M1,1
n363309,Q15717,1
n385688,Q15717,1
n344547,Q01844,1
n385145,Q86X94,1
n344814,Q49AS9,1
n346551,Q9Y6M1,1
n383234,Q9Y6M1,1
n409707,O00425,1
n407721,Q15717,1
n345175,Q15717,1
n382131,Q15717,1
n384227,Q13148,1
n345288,Q13148,1
n344872,Q15717,1
n346200,Q9Y6M1,1
n385370,O00425,1
n345246,Q15717,1
n409674,B7ZL34,1
n344610,O00425,1
n383019,Q9HCE1,1
n386682,Q01844,1
n344995,Q15717,1
n382220,P35637,1
n410249,Q15717,1
n344658,Q15717,1
n345653,Q9NZI8,1
n406274,Q9UKV8,1
n345670,P35637,1
n344659,Q9Y6M1,1
n387393,Q9UKV8,1
n377982,Q13148,1
n385468,Q15717,1
n346398,Q9UKV8,1
n406914,Q15717,1
n372935,O00425,1
n366279,Q49AS9,1
n406444,Q07955,1
n379114,Q15717,1
n383693,O00425,1
n409180,O00425,1
n345417,Q49AS9,1
n377664,Q9UKV8,1
n385727,Q9Y6M1,1
n377834,O00425,1
n375477,O00425,1
n345222,Q9UKV8,1
n363878,Q49AS9,1
n406201,Q07955,1
n384624,Q9UKV8,1
n364206,Q07955,1
n344871,Q15717,1
n375746,Q13148,1
n371684,Q15717,1
n346128,Q07955,1
n344496,Q07955,1
n345182,Q49AS9,1
n375209,Q49AS9,1
n405893,Q49AS9,1
n407851,Q9NZI8,1
n383231,Q15717,1
n408353,Q9NZI8,1
n387060,Q9UL18,1
n387060,Q9UKV8,1
n387060,Q9H9G7,1
n387060,Q9HCK5,1
n407441,O00425,1
n345975,P35637,1
n345170,Q15717,1
n344778,Q01844,1
n408119,O00425,1
n344992,Q13148,1
n377827,O00425,1
n384770,Q15717,1
n386209,Q86X94,1
n379927,Q9Y6M1,1
n371910,Q49AS9,1
n373685,Q07955,1
n344909,Q15717,1
n345281,Q86X94,1
n381942,Q07955,1
n363484,Q9NZI8,1
n384700,P35637,1
n411578,Q9Y6M1,1
n346523,Q07955,1
n406442,O00425,1
n381409,Q9NZI8,1
n385185,P35637,1
n370126,Q9Y6M1,1
n376384,Q15717,1
n376985,Q15717,1
n379132,P26599,1
n344659,Q49AS9,1
n386231,Q15717,1
n376203,Q9Y6M1,1
n381430,Q01844,1
n344559,Q15717,1
n345685,P31483,1
n383862,B7ZL34,1
n385106,Q15717,1
n386343,Q15717,1
n383190,Q49AS9,1
n345059,Q15717,1
n344778,Q15717,1
n407434,Q15717,1
n344540,Q13148,1
n344679,Q13148,1
n383179,Q07955,1
n385039,Q13148,1
n409684,Q9UKV8,1
n384210,P31483,1
n409406,Q9NZI8,1
n371301,Q9UKV8,1
n384754,P35637,1
n346422,Q49AS9,1
n385202,Q9UKV8,1
n344799,Q49AS9,1
n385106,Q49AS9,1
n346033,Q07955,1
n378252,Q15717,1
n344775,O00425,1
n368627,Q9NZI8,1
n383186,Q86X94,1
n384720,Q9Y6M1,1
n381417,Q15717,1
n345175,Q15717,1
n405607,Q9NZI8,1
n385775,Q15717,1
n367848,Q15717,1
n377416,Q49AS9,1
n373804,Q15717,1
n408051,Q01844,1
n377834,Q8NDV7,1
n377834,Q9UPQ9,1
n377834,Q9HCJ0,1
n406336,Q15717,1
n379436,Q07955,1
n368106,P31483,1
n381557,Q9Y6M1,1
n384996,Q9Y6M1,1
n410638,Q15717,1
n377873,Q9Y6M1,1
n378567,Q15717,1
n407211,Q15717,1
n345226,Q86X94,1
n385951,Q9NZI8,1
n345653,Q01844,1
n405438,Q9UL18,1
n405438,Q9UKV8,1
n405438,Q9H9G7,1
n405438,Q9HCK5,1
n345694,Q15717,1
n387397,P35637,1
n345458,Q15717,1
n344601,Q9UKV8,1
n381878,Q07955,1
n383693,Q15717,1
n345887,Q49AS9,1
n405639,Q9HCE1,1
n386328,Q15717,1
n346337,Q07955,1
n344808,Q15717,1
n377932,P31483,1
n407434,P35637,1
n385106,O00425,1
n407071,Q9UKV8,1
n345777,P31483,1
n385223,P26599,1
n371670,Q15717,1
n386025,Q9UKV8,1
n406416,Q15717,1
n364340,Q07955,1
n385511,Q15717,1
n377670,Q07955,1
n383172,P26599,1
n344736,P31483,1
n344745,Q01844,1
n385780,Q15717,1
n383932,Q13148,1
n377827,Q9NZI8,1
n345437,Q49AS9,1
n379616,Q9Y6M1,1
n381846,Q15717,1
n346521,Q07955,1
n377639,Q9UKV8,1
n369699,Q07955,1
n387397,O00425,1
n405884,Q15717,1
n368098,Q15717,1
n344924,Q15717,1
n387719,P35637,1
n410904,P35637,1
n363484,P35637,1
n385511,Q9UL18,1
n385511,Q9UKV8,1
n385511,Q9H9G7,1
n385511,Q9HCK5,1
n369876,P35637,1
n379300,O43251,1
n345117,Q86X94,1
n364686,Q9NZI8,1
n380707,P31483,1
n371665,Q9NZI8,1
n344604,Q49AS9,1
n386682,Q96PU8,1
n382918,Q15717,1
n387060,Q07955,1
n377506,Q15717,1
n364244,Q07955,1
n345954,Q15717,1
n344965,Q13148,1
n344726,P26599,1
n381102,O43251,1
n345186,P31483,1
n344514,Q9UKV8,1
n344508,O00425,1
n381057,Q15717,1
n387290,O00425,1
n385725,B7ZL34,1
n345886,P35637,1
n378866,P26599,1
n381280,Q9NZI8,1
n344462,Q15717,1
n381280,Q9Y6M1,1
n371910,Q01844,1
n381805,O00425,1
n411720,Q9UL18,1
n411720,Q9UKV8,1
n411720,Q9H9G7,1
n411720,Q9HCK5,1
n345386,Q15717,1
n371665,Q9UKV8,1
n410457,Q49AS9,1
n375244,Q07955,1
