Query_Seq_ID,Target_Seq_ID,Align_Score,Normalize_Score,Identity,Similarity
n344472,n344868,523.0,0.21,246/788 (31.2%),332/788 (42.1%)
n344868,n344472,523.0,0.21,246/788 (31.2%),332/788 (42.1%)
n344472,n344871,555.0,0.22,248/914 (27.1%),345/914 (37.7%)
n344871,n344472,555.0,0.22,248/914 (27.1%),345/914 (37.7%)
n344472,n344872,543.0,0.22,258/883 (29.2%),356/883 (40.3%)
n344872,n344472,543.0,0.22,258/883 (29.2%),356/883 (40.3%)
n344472,n344875,574.5,0.23,242/789 (30.7%),335/789 (42.5%)
n344875,n344472,574.5,0.23,242/789 (30.7%),335/789 (42.5%)
n344472,n344880,556.5,0.22,258/865 (29.8%),353/865 (40.8%)
n344880,n344472,556.5,0.22,258/865 (29.8%),353/865 (40.8%)
n344472,n344885,581.0,0.23,249/870 (28.6%),353/870 (40.6%)
n344885,n344472,581.0,0.23,249/870 (28.6%),353/870 (40.6%)
n344472,n344894,521.0,0.21,270/997 (27.1%),363/997 (36.4%)
n344894,n344472,521.0,0.21,270/997 (27.1%),363/997 (36.4%)
n344472,n344899,534.5,0.21,250/925 (27.0%),349/925 (37.7%)
n344899,n344472,534.5,0.21,250/925 (27.0%),349/925 (37.7%)
n344472,n344907,462.0,0.18,235/862 (27.3%),335/862 (38.9%)
n344907,n344472,462.0,0.18,235/862 (27.3%),335/862 (38.9%)
n344472,n344909,545.0,0.22,257/872 (29.5%),345/872 (39.6%)
n344909,n344472,545.0,0.22,257/872 (29.5%),345/872 (39.6%)
n344472,n344916,552.5,0.22,235/906 (25.9%),346/906 (38.2%)
n344916,n344472,552.5,0.22,235/906 (25.9%),346/906 (38.2%)
n344472,n344924,552.5,0.22,247/846 (29.2%),351/846 (41.5%)
n344924,n344472,552.5,0.22,247/846 (29.2%),351/846 (41.5%)
n344472,n344930,505.0,0.20,244/896 (27.2%),346/896 (38.6%)
n344930,n344472,505.0,0.20,244/896 (27.2%),346/896 (38.6%)
n344472,n344931,524.0,0.21,243/965 (25.2%),348/965 (36.1%)
n344931,n344472,524.0,0.21,243/965 (25.2%),348/965 (36.1%)
n344472,n344934,577.0,0.23,261/915 (28.5%),352/915 (38.5%)
n344934,n344472,577.0,0.23,261/915 (28.5%),352/915 (38.5%)
n344472,n344939,530.5,0.21,249/859 (29.0%),332/859 (38.6%)
n344939,n344472,530.5,0.21,249/859 (29.0%),332/859 (38.6%)
n344472,n344940,540.0,0.21,238/891 (26.7%),348/891 (39.1%)
n344940,n344472,540.0,0.21,238/891 (26.7%),348/891 (39.1%)
n344472,n344941,494.0,0.20,256/914 (28.0%),344/914 (37.6%)
n344941,n344472,494.0,0.20,256/914 (28.0%),344/914 (37.6%)
n344472,n344943,533.0,0.21,232/867 (26.8%),333/867 (38.4%)
n344943,n344472,533.0,0.21,232/867 (26.8%),333/867 (38.4%)
n344472,n344949,479.0,0.19,189/611 (30.9%),281/611 (46.0%)
n344949,n344472,479.0,0.19,189/611 (30.9%),281/611 (46.0%)
n344472,n344957,459.0,0.18,225/847 (26.6%),335/847 (39.6%)
n344957,n344472,459.0,0.18,225/847 (26.6%),335/847 (39.6%)
n344472,n344958,528.0,0.21,236/842 (28.0%),339/842 (40.3%)
n344958,n344472,528.0,0.21,236/842 (28.0%),339/842 (40.3%)
n344472,n344960,574.5,0.23,263/971 (27.1%),365/971 (37.6%)
n344960,n344472,574.5,0.23,263/971 (27.1%),365/971 (37.6%)
n344472,n344963,547.5,0.22,249/904 (27.5%),346/904 (38.3%)
n344963,n344472,547.5,0.22,249/904 (27.5%),346/904 (38.3%)
n344472,n344965,560.0,0.22,259/947 (27.3%),355/947 (37.5%)
n344965,n344472,560.0,0.22,259/947 (27.3%),355/947 (37.5%)
n344472,n344971,561.5,0.22,255/954 (26.7%),359/954 (37.6%)
n344971,n344472,561.5,0.22,255/954 (26.7%),359/954 (37.6%)
n344472,n344972,534.0,0.21,262/1091 (24.0%),366/1091 (33.5%)
n344972,n344472,534.0,0.21,262/1091 (24.0%),366/1091 (33.5%)
n344472,n344975,556.0,0.22,237/933 (25.4%),333/933 (35.7%)
n344975,n344472,556.0,0.22,237/933 (25.4%),333/933 (35.7%)
n344472,n344980,559.0,0.22,247/769 (32.1%),324/769 (42.1%)
n344980,n344472,559.0,0.22,247/769 (32.1%),324/769 (42.1%)
n344472,n344986,549.0,0.22,245/792 (30.9%),326/792 (41.2%)
n344986,n344472,549.0,0.22,245/792 (30.9%),326/792 (41.2%)
n344472,n344988,478.0,0.19,237/812 (29.2%),324/812 (39.9%)
n344988,n344472,478.0,0.19,237/812 (29.2%),324/812 (39.9%)
n344472,n344992,435.5,0.17,200/686 (29.2%),292/686 (42.6%)
n344992,n344472,435.5,0.17,200/686 (29.2%),292/686 (42.6%)
n344472,n344995,530.5,0.21,250/999 (25.0%),358/999 (35.8%)
n344995,n344472,530.5,0.21,250/999 (25.0%),358/999 (35.8%)
n344472,n344996,529.5,0.21,238/822 (29.0%),341/822 (41.5%)
n344996,n344472,529.5,0.21,238/822 (29.0%),341/822 (41.5%)
n344472,n345003,508.5,0.20,242/970 (24.9%),348/970 (35.9%)
n345003,n344472,508.5,0.20,242/970 (24.9%),348/970 (35.9%)
n344472,n345006,585.0,0.23,255/918 (27.8%),355/918 (38.7%)
n345006,n344472,585.0,0.23,255/918 (27.8%),355/918 (38.7%)
n344472,n345012,471.0,0.19,216/697 (31.0%),308/697 (44.2%)
n345012,n344472,471.0,0.19,216/697 (31.0%),308/697 (44.2%)
n344472,n345014,591.0,0.24,264/1011 (26.1%),365/1011 (36.1%)
n345014,n344472,591.0,0.24,264/1011 (26.1%),365/1011 (36.1%)
n344472,n345025,587.0,0.23,273/910 (30.0%),368/910 (40.4%)
n345025,n344472,587.0,0.23,273/910 (30.0%),368/910 (40.4%)
n344472,n345026,437.5,0.17,200/665 (30.1%),273/665 (41.1%)
n345026,n344472,437.5,0.17,200/665 (30.1%),273/665 (41.1%)
n344472,n345031,525.5,0.21,227/757 (30.0%),306/757 (40.4%)
n345031,n344472,525.5,0.21,227/757 (30.0%),306/757 (40.4%)
n344472,n345032,510.5,0.20,248/853 (29.1%),337/853 (39.5%)
n345032,n344472,510.5,0.20,248/853 (29.1%),337/853 (39.5%)
n344472,n345038,521.5,0.21,261/889 (29.4%),356/889 (40.0%)
n345038,n344472,521.5,0.21,261/889 (29.4%),356/889 (40.0%)
n344472,n345040,558.0,0.22,242/811 (29.8%),348/811 (42.9%)
n345040,n344472,558.0,0.22,242/811 (29.8%),348/811 (42.9%)
n344472,n345041,554.0,0.22,249/911 (27.3%),345/911 (37.9%)
n345041,n344472,554.0,0.22,249/911 (27.3%),345/911 (37.9%)
n344472,n345044,534.0,0.21,275/942 (29.2%),366/942 (38.9%)
n345044,n344472,534.0,0.21,275/942 (29.2%),366/942 (38.9%)
n344472,n345045,521.0,0.21,228/788 (28.9%),322/788 (40.9%)
n345045,n344472,521.0,0.21,228/788 (28.9%),322/788 (40.9%)
n344472,n345046,568.5,0.23,264/978 (27.0%),368/978 (37.6%)
n345046,n344472,568.5,0.23,264/978 (27.0%),368/978 (37.6%)
n344472,n345059,462.5,0.18,210/649 (32.4%),301/649 (46.4%)
n345059,n344472,462.5,0.18,210/649 (32.4%),301/649 (46.4%)
n344472,n345068,522.0,0.21,240/773 (31.0%),325/773 (42.0%)
n345068,n344472,522.0,0.21,240/773 (31.0%),325/773 (42.0%)
n344472,n345070,449.5,0.18,217/629 (34.5%),286/629 (45.5%)
n345070,n344472,449.5,0.18,217/629 (34.5%),286/629 (45.5%)
n344472,n345077,512.5,0.20,240/794 (30.2%),331/794 (41.7%)
n345077,n344472,512.5,0.20,240/794 (30.2%),331/794 (41.7%)
n344472,n345088,534.5,0.21,241/719 (33.5%),319/719 (44.4%)
n345088,n344472,534.5,0.21,241/719 (33.5%),319/719 (44.4%)
n344472,n345091,506.0,0.20,258/1010 (25.5%),357/1010 (35.3%)
n345091,n344472,506.0,0.20,258/1010 (25.5%),357/1010 (35.3%)
n344472,n345101,550.5,0.22,247/891 (27.7%),337/891 (37.8%)
n345101,n344472,550.5,0.22,247/891 (27.7%),337/891 (37.8%)
n344472,n345105,503.5,0.20,233/903 (25.8%),332/903 (36.8%)
n345105,n344472,503.5,0.20,233/903 (25.8%),332/903 (36.8%)
n344472,n345110,541.5,0.22,238/838 (28.4%),335/838 (40.0%)
n345110,n344472,541.5,0.22,238/838 (28.4%),335/838 (40.0%)
n344472,n345117,516.5,0.21,257/892 (28.8%),345/892 (38.7%)
n345117,n344472,516.5,0.21,257/892 (28.8%),345/892 (38.7%)
n344472,n345138,556.5,0.22,253/816 (31.0%),337/816 (41.3%)
n345138,n344472,556.5,0.22,253/816 (31.0%),337/816 (41.3%)
n344472,n345139,555.0,0.22,239/773 (30.9%),332/773 (42.9%)
n345139,n344472,555.0,0.22,239/773 (30.9%),332/773 (42.9%)
n344472,n345156,456.5,0.18,218/743 (29.3%),303/743 (40.8%)
n345156,n344472,456.5,0.18,218/743 (29.3%),303/743 (40.8%)
n344472,n345157,542.5,0.22,263/1012 (26.0%),366/1012 (36.2%)
n345157,n344472,542.5,0.22,263/1012 (26.0%),366/1012 (36.2%)
n344472,n345161,535.5,0.21,234/844 (27.7%),342/844 (40.5%)
n345161,n344472,535.5,0.21,234/844 (27.7%),342/844 (40.5%)
n344472,n345168,429.0,0.17,186/600 (31.0%),268/600 (44.7%)
n345168,n344472,429.0,0.17,186/600 (31.0%),268/600 (44.7%)
n344472,n345170,542.5,0.22,243/880 (27.6%),346/880 (39.3%)
n345170,n344472,542.5,0.22,243/880 (27.6%),346/880 (39.3%)
n344472,n345173,531.0,0.21,260/825 (31.5%),343/825 (41.6%)
n345173,n344472,531.0,0.21,260/825 (31.5%),343/825 (41.6%)
n344472,n345175,509.0,0.20,240/859 (27.9%),332/859 (38.6%)
n345175,n344472,509.0,0.20,240/859 (27.9%),332/859 (38.6%)
n344472,n345179,498.5,0.20,228/724 (31.5%),316/724 (43.6%)
n345179,n344472,498.5,0.20,228/724 (31.5%),316/724 (43.6%)
n344472,n345182,541.0,0.22,256/1071 (23.9%),368/1071 (34.4%)
n345182,n344472,541.0,0.22,256/1071 (23.9%),368/1071 (34.4%)
n344472,n345185,532.5,0.21,262/957 (27.4%),355/957 (37.1%)
n345185,n344472,532.5,0.21,262/957 (27.4%),355/957 (37.1%)
n344472,n345186,529.5,0.21,249/870 (28.6%),340/870 (39.1%)
n345186,n344472,529.5,0.21,249/870 (28.6%),340/870 (39.1%)
n344472,n345207,523.5,0.21,227/698 (32.5%),308/698 (44.1%)
n345207,n344472,523.5,0.21,227/698 (32.5%),308/698 (44.1%)
n344472,n345221,539.0,0.21,255/930 (27.4%),355/930 (38.2%)
n345221,n344472,539.0,0.21,255/930 (27.4%),355/930 (38.2%)
n344472,n345222,570.0,0.23,220/825 (26.7%),329/825 (39.9%)
n345222,n344472,570.0,0.23,220/825 (26.7%),329/825 (39.9%)
n344472,n345226,542.5,0.22,233/716 (32.5%),321/716 (44.8%)
n345226,n344472,542.5,0.22,233/716 (32.5%),321/716 (44.8%)
n344472,n345229,399.5,0.16,193/557 (34.6%),255/557 (45.8%)
n345229,n344472,399.5,0.16,193/557 (34.6%),255/557 (45.8%)
n344472,n345232,517.5,0.21,263/1109 (23.7%),368/1109 (33.2%)
n345232,n344472,517.5,0.21,263/1109 (23.7%),368/1109 (33.2%)
n344472,n345246,550.0,0.22,249/987 (25.2%),349/987 (35.4%)
n345246,n344472,550.0,0.22,249/987 (25.2%),349/987 (35.4%)
n344472,n345248,543.0,0.22,254/886 (28.7%),354/886 (40.0%)
n345248,n344472,543.0,0.22,254/886 (28.7%),354/886 (40.0%)
